name	l:label	uid	type	obtainable	command	label	entity:string_array
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l7.  chicken with garlic sauce lunch special	Item,Obtainable,l7.  chicken with garlic sauce lunch special	N899	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l7.  chicken with garlic sauce lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l7.  chicken with garlic sauce lunch special	
	Token,~NoTag		token			l7	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,CommonSense>With		token			with	CommonSense>With
	Token,DBPedia>Garlic		token			garlic	DBPedia>Garlic
	Token,DBPedia>Sauce		token			sauce	DBPedia>Sauce
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>AlongWith	AlongWith	
l8.  chicken with cashew nuts lunch special	Item,Obtainable,l8.  chicken with cashew nuts lunch special	N900	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l8.  chicken with cashew nuts lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l8.  chicken with cashew nuts lunch special	
	Token,~NoTag		token			l8	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,CommonSense>With		token			with	CommonSense>With
	Token,DBPedia>Cashew		token			cashew	DBPedia>Cashew
	Token,~NoTag		token			nut	~NoTag
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>AlongWith	AlongWith	
l9.  kung pao chicken lunch special	Item,Obtainable,l9.  kung pao chicken lunch special	N901	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l9.  kung pao chicken lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l9.  kung pao chicken lunch special	
	Token,~NoTag		token			l9	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			kung	~NoTag
	Token,~NoTag		token			pao	~NoTag
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l10.  sesame chicken lunch special	Item,Obtainable,l10.  sesame chicken lunch special	N902	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l10.  sesame chicken lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l10.  sesame chicken lunch special	
	Token,~NoTag		token			l10	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Sesame		token			sesame	DBPedia>Sesame
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l11.  orange chicken lunch special	Item,Obtainable,l11.  orange chicken lunch special	N903	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l11.  orange chicken lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l11.  orange chicken lunch special	
	Token,~NoTag		token			l11	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Orange		token			orange	DBPedia>Orange
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l12.  general tso's chicken lunch special	Item,Obtainable,l12.  general tso's chicken lunch special	N904	item	True			
