name	l:label	uid	type	obtainable	command	label	entity:string_array
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			fried	~NoTag
	Token,DBPedia>Wonton		token			wonton	DBPedia>Wonton
	Token,~NoTag		token			(10)	~NoTag
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
5.  fried crab rangoon (8)	Item,Obtainable,5.  fried crab rangoon (8)	N947	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	5.  fried crab rangoon (8)	
	Hypergraph		hypergraph		CommandNet>NewInstruction	5.  fried crab rangoon (8)	
	Token,DBPedia>5_(number)		token			5	DBPedia>5_(number)
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			fried	~NoTag
	Token,DBPedia>Crab		token			crab	DBPedia>Crab
	Token,~NoTag		token			rangoon	~NoTag
	Token,~NoTag		token			(8)	~NoTag
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
6.  vegetable dumpling (6)	Item,Obtainable,6.  vegetable dumpling (6)	N948	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	6.  vegetable dumpling (6)	
	Hypergraph		hypergraph		CommandNet>NewInstruction	6.  vegetable dumpling (6)	
	Token,DBPedia>6_(number)		token			6	DBPedia>6_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Vegetable		token			vegetable	DBPedia>Vegetable
	Token,DBPedia>Dumpling		token			dumpling	DBPedia>Dumpling
	Token,~NoTag		token			(6)	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
choice of dumpling preparation	OptionGroup	N1189	option_group				
fried	Option,fried	N1190	option				
steamed	Option,steamed	N1191	option				
7.  meat (pork) dumpling (6)	Item,Obtainable,7.  meat (pork) dumpling (6)	N949	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	7.  meat (pork) dumpling (6)	
	Hypergraph		hypergraph		CommandNet>NewInstruction	7.  meat (pork) dumpling (6)	
	Token,DBPedia>7_(number)		token			7	DBPedia>7_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Meat		token			meat	DBPedia>Meat
	Token,~NoTag		token			(pork)	~NoTag
	Token,DBPedia>Dumpling		token			dumpling	DBPedia>Dumpling
	Token,~NoTag		token			(6)	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
choice of dumpling preparation	OptionGroup	N1192	option_group				
fried	Option,fried	N1193	option				
steamed	Option,steamed	N1194	option				
8.  shrimp toast (4)	Item,Obtainable,8.  shrimp toast (4)	N950	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	8.  shrimp toast (4)	
	Hypergraph		hypergraph		CommandNet>NewInstruction	8.  shrimp toast (4)	
	Token,DBPedia>8_(number)		token			8	DBPedia>8_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Shrimp		token			shrimp	DBPedia>Shrimp
	Token,DBPedia>Toast		token			toast	DBPedia>Toast
	Token,~NoTag		token			(4)	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
9.  barbecued spareribs (4)	Item,Obtainable,9.  barbecued spareribs (4)	N951	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	9.  barbecued spareribs (4)	
	Hypergraph		hypergraph		CommandNet>NewInstruction	9.  barbecued spareribs (4)	
	Token,DBPedia>9_(number)		token			9	DBPedia>9_(number)
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			barbecued	~NoTag
	Token,~NoTag		token			sparerib	~NoTag
	Token,~NoTag		token			(4)	~NoTag
10.  boneless spareribs	Item,Obtainable,10.  boneless spareribs	N952	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	10.  boneless spareribs	
	Hypergraph		hypergraph		CommandNet>NewInstruction	10.  boneless spareribs	
	Token,DBPedia>10_(number)		token			10	DBPedia>10_(number)
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			boneless	~NoTag
	Token,~NoTag		token			sparerib	~NoTag
pick one	OptionGroup	N1195	option_group				
pint	Option,pint	N1196	option				
quart	Option,quart	N1197	option				
11.  beef teriyaki (4)	Item,Obtainable,11.  beef teriyaki (4)	N953	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	11.  beef teriyaki (4)	
	Hypergraph		hypergraph		CommandNet>NewInstruction	11.  beef teriyaki (4)	
	Token,DBPedia>11_(number)		token			11	DBPedia>11_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Beef		token			beef	DBPedia>Beef
	Token,DBPedia>Teriyaki		token			teriyaki	DBPedia>Teriyaki
	Token,~NoTag		token			(4)	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
12.  chicken teriyaki (4)	Item,Obtainable,12.  chicken teriyaki (4)	N954	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	12.  chicken teriyaki (4)	
	Hypergraph		hypergraph		CommandNet>NewInstruction	12.  chicken teriyaki (4)	
	Token,DBPedia>12_(number)		token			12	DBPedia>12_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,DBPedia>Teriyaki		token			teriyaki	DBPedia>Teriyaki
	Token,~NoTag		token			(4)	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
13.  cold sesame noodles	Item,Obtainable,13.  cold sesame noodles	N955	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	13.  cold sesame noodles	
	Hypergraph		hypergraph		CommandNet>NewInstruction	13.  cold sesame noodles	
	Token,DBPedia>13_(number)		token			13	DBPedia>13_(number)
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			cold	~NoTag
	Token,DBPedia>Sesame		token			sesame	DBPedia>Sesame
	Token,DBPedia>Noodle		token			noodle	DBPedia>Noodle
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
14. jumbo shrimp tempura (4)	Item,Obtainable,14. jumbo shrimp tempura (4)	N956	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	14. jumbo shrimp tempura (4)	
	Hypergraph		hypergraph		CommandNet>NewInstruction	14. jumbo shrimp tempura (4)	
	Token,DBPedia>14_(number)		token			14	DBPedia>14_(number)
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			jumbo	~NoTag
	Token,DBPedia>Shrimp		token			shrimp	DBPedia>Shrimp
	Token,DBPedia>Tempura		token			tempura	DBPedia>Tempura
	Token,~NoTag		token			(4)	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
15.  pu pu platter (for 2)	Item,Obtainable,15.  pu pu platter (for 2)	N957	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	15.  pu pu platter (for 2)	
	Hypergraph		hypergraph		CommandNet>NewInstruction	15.  pu pu platter (for 2)	
	Token,DBPedia>15_(number)		token			15	DBPedia>15_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Pus		token			pu	DBPedia>Pus
	Token,~NoTag		token			platter	~NoTag
	Token,~NoTag		token			(for	~NoTag
	Token,~NoTag		token			2)	~NoTag
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
16. scallions pancake (2)	Item,Obtainable,16. scallions pancake (2)	N958	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	16. scallions pancake (2)	
	Hypergraph		hypergraph		CommandNet>NewInstruction	16. scallions pancake (2)	
	Token,DBPedia>16_(number)		token			16	DBPedia>16_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Scallion		token			scallion	DBPedia>Scallion
	Token,DBPedia>Pancake		token			pancake	DBPedia>Pancake
	Token,~NoTag		token			(2)	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
17. edamame green soy bean	Item,Obtainable,17. edamame green soy bean	N959	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	17. edamame green soy bean	
	Hypergraph		hypergraph		CommandNet>NewInstruction	17. edamame green soy bean	
	Token,DBPedia>17_(number)		token			17	DBPedia>17_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Edamame		token			edamame	DBPedia>Edamame
	Token,~NoTag		token			green	~NoTag
	Token,~NoTag		token			soy	~NoTag
	Token,DBPedia>Bean		token			bean	DBPedia>Bean
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
18. seaweed salad	Item,Obtainable,18. seaweed salad	N960	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	18. seaweed salad	
	Hypergraph		hypergraph		CommandNet>NewInstruction	18. seaweed salad	
	Token,DBPedia>18_(number)		token			18	DBPedia>18_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Seaweed		token			seaweed	DBPedia>Seaweed
	Token,DBPedia>Salad		token			salad	DBPedia>Salad
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
19. hot &amp; spicy chinese cabbage	Item,Obtainable,19. hot &amp; spicy chinese cabbage	N961	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	19. hot &amp; spicy chinese cabbage	
	Hypergraph		hypergraph		CommandNet>NewInstruction	19. hot &amp; spicy chinese cabbage	
	Token,DBPedia>19_(number)		token			19	DBPedia>19_(number)
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			hot	~NoTag
	Token,~NoTag		token			&amp;	~NoTag
	Token,~NoTag		token			spicy	~NoTag
	Token,~NoTag		token			chinese	~NoTag
	Token,DBPedia>Cabbage		token			cabbage	DBPedia>Cabbage
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
20. shanghai steamed pork bun (8)	Item,Obtainable,20. shanghai steamed pork bun (8)	N962	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	20. shanghai steamed pork bun (8)	
	Hypergraph		hypergraph		CommandNet>NewInstruction	20. shanghai steamed pork bun (8)	
	Token,DBPedia>20_(number)		token			20	DBPedia>20_(number)
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			shanghai	~NoTag
	Token,~NoTag		token			steamed	~NoTag
	Token,DBPedia>Pork		token			pork	DBPedia>Pork
	Token,DBPedia>Bun		token			bun	DBPedia>Bun
	Token,~NoTag		token			(8)	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
soup	Group	N925	group				
21. egg drop soup	Item,Obtainable,21. egg drop soup	N963	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	21. egg drop soup	
	Hypergraph		hypergraph		CommandNet>NewInstruction	21. egg drop soup	
	Token,DBPedia>21_(number)		token			21	DBPedia>21_(number)
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			egg	~NoTag
	Token,~NoTag		token			drop	~NoTag
	Token,DBPedia>Soup		token			soup	DBPedia>Soup
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
pick one	OptionGroup	N1198	option_group				
small	Option,small	N1199	option				
large	Option,large	N1200	option				
22. wonton soup	Item,Obtainable,22. wonton soup	N964	item	True			
pick one	OptionGroup	N1201	option_group				
small	Option,small	N1202	option				
large	Option,large	N1203	option				
23. hot &amp; sour soup	Item,Obtainable,23. hot &amp; sour soup	N965	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	23. hot &amp; sour soup	
	Hypergraph		hypergraph		CommandNet>NewInstruction	23. hot &amp; sour soup	
	Token,DBPedia>23_(number)		token			23	DBPedia>23_(number)
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			hot	~NoTag
	Token,~NoTag		token			&amp;	~NoTag
	Token,~NoTag		token			sour	~NoTag
	Token,DBPedia>Soup		token			soup	DBPedia>Soup
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
pick one	OptionGroup	N1204	option_group				
small	Option,small	N1205	option				
large	Option,large	N1206	option				
24. chicken noodle soup	Item,Obtainable,24. chicken noodle soup	N971	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	24. chicken noodle soup	
	Hypergraph		hypergraph		CommandNet>NewInstruction	24. chicken noodle soup	
	Token,DBPedia>24_(number)		token			24	DBPedia>24_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,DBPedia>Noodle		token			noodle	DBPedia>Noodle
	Token,DBPedia>Soup		token			soup	DBPedia>Soup
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
24. chicken rice soup	Item,Obtainable,24. chicken rice soup	N972	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	24. chicken rice soup	
	Hypergraph		hypergraph		CommandNet>NewInstruction	24. chicken rice soup	
	Token,DBPedia>24_(number)		token			24	DBPedia>24_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,DBPedia>Rice		token			rice	DBPedia>Rice
	Token,DBPedia>Soup		token			soup	DBPedia>Soup
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
25. bean curd with vegetable soup	Item,Obtainable,25. bean curd with vegetable soup	N966	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	25. bean curd with vegetable soup	
	Hypergraph		hypergraph		CommandNet>NewInstruction	25. bean curd with vegetable soup	
	Token,DBPedia>25_(number)		token			25	DBPedia>25_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Bean		token			bean	DBPedia>Bean
	Token,DBPedia>Curd		token			curd	DBPedia>Curd
	Token,CommonSense>With		token			with	CommonSense>With
	Token,DBPedia>Vegetable		token			vegetable	DBPedia>Vegetable
	Token,DBPedia>Soup		token			soup	DBPedia>Soup
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>AlongWith	AlongWith	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
26. seafood soup -  for 2	Item,Obtainable,26. seafood soup -  for 2	N967	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	26. seafood soup -  for 2	
	Hypergraph		hypergraph		CommandNet>NewInstruction	26. seafood soup -  for 2	
	Token,DBPedia>26_(number)		token			26	DBPedia>26_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Seafood		token			seafood	DBPedia>Seafood
	Token,DBPedia>Soup		token			soup	DBPedia>Soup
	Token,~NoTag		token			-	~NoTag
	Token,~NoTag		token			for	~NoTag
	Token,DBPedia>2_(number)		token			2	DBPedia>2_(number)
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
27. creamy chicken corn soup	Item,Obtainable,27. creamy chicken corn soup	N968	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	27. creamy chicken corn soup	
	Hypergraph		hypergraph		CommandNet>NewInstruction	27. creamy chicken corn soup	
	Token,DBPedia>27_(number)		token			27	DBPedia>27_(number)
	Token,~NoTag		token			.	~NoTag
	Token,Wikitionary>Creamy		token			creamy	Wikitionary>Creamy
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,~NoTag		token			corn	~NoTag
	Token,DBPedia>Soup		token			soup	DBPedia>Soup
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
28. asparagus crabmeat soup	Item,Obtainable,28. asparagus crabmeat soup	N969	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	28. asparagus crabmeat soup	
	Hypergraph		hypergraph		CommandNet>NewInstruction	28. asparagus crabmeat soup	
	Token,DBPedia>28_(number)		token			28	DBPedia>28_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Asparagus		token			asparagus	DBPedia>Asparagus
	Token,~NoTag		token			crabmeat	~NoTag
	Token,DBPedia>Soup		token			soup	DBPedia>Soup
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
29. miso soup	Item,Obtainable,29. miso soup	N970	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	29. miso soup	
	Hypergraph		hypergraph		CommandNet>NewInstruction	29. miso soup	
	Token,DBPedia>29_(number)		token			29	DBPedia>29_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Miso		token			miso	DBPedia>Miso
	Token,DBPedia>Soup		token			soup	DBPedia>Soup
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
pick one	OptionGroup	N1207	option_group				
small	Option,small	N1208	option				
large	Option,large	N1209	option				
30. vegetables udon noodle soup	Item,Obtainable,30. vegetables udon noodle soup	N1567	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	30. vegetables udon noodle soup	
	Hypergraph		hypergraph		CommandNet>NewInstruction	30. vegetables udon noodle soup	
	Token,DBPedia>30_(number)		token			30	DBPedia>30_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Vegetable		token			vegetable	DBPedia>Vegetable
	Token,DBPedia>Udon		token			udon	DBPedia>Udon
	Token,DBPedia>Noodle		token			noodle	DBPedia>Noodle
	Token,DBPedia>Soup		token			soup	DBPedia>Soup
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
31. chicken udon noodle soup	Item,Obtainable,31. chicken udon noodle soup	N1568	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	31. chicken udon noodle soup	
	Hypergraph		hypergraph		CommandNet>NewInstruction	31. chicken udon noodle soup	
	Token,DBPedia>31_(number)		token			31	DBPedia>31_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,DBPedia>Udon		token			udon	DBPedia>Udon
	Token,DBPedia>Noodle		token			noodle	DBPedia>Noodle
	Token,DBPedia>Soup		token			soup	DBPedia>Soup
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
32. seafood udon noodle soup 	Item,Obtainable,32. seafood udon noodle soup 	N1569	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	32. seafood udon noodle soup 	
	Hypergraph		hypergraph		CommandNet>NewInstruction	32. seafood udon noodle soup 	
	Token,DBPedia>32_(number)		token			32	DBPedia>32_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Seafood		token			seafood	DBPedia>Seafood
	Token,DBPedia>Udon		token			udon	DBPedia>Udon
	Token,DBPedia>Noodle		token			noodle	DBPedia>Noodle
	Token,DBPedia>Soup		token			soup	DBPedia>Soup
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
fried rice	Group	N927	group				
33. chicken fried rice	Item,Obtainable,33. chicken fried rice	N976	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	33. chicken fried rice	
	Hypergraph		hypergraph		CommandNet>NewInstruction	33. chicken fried rice	
	Token,DBPedia>33_(number)		token			33	DBPedia>33_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,~NoTag		token			fried	~NoTag
	Token,DBPedia>Rice		token			rice	DBPedia>Rice
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
pick one	OptionGroup	N1210	option_group				
small	Option,small	N1211	option				
large	Option,large	N1212	option				
33. beef fried rice	Item,Obtainable,33. beef fried rice	N974	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	33. beef fried rice	
	Hypergraph		hypergraph		CommandNet>NewInstruction	33. beef fried rice	
	Token,DBPedia>33_(number)		token			33	DBPedia>33_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Beef		token			beef	DBPedia>Beef
	Token,~NoTag		token			fried	~NoTag
	Token,DBPedia>Rice		token			rice	DBPedia>Rice
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
pick one	OptionGroup	N1213	option_group				
small	Option,small	N1214	option				
large	Option,large	N1215	option				
33. pork fried rice	Item,Obtainable,33. pork fried rice	N975	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	33. pork fried rice	
	Hypergraph		hypergraph		CommandNet>NewInstruction	33. pork fried rice	
	Token,DBPedia>33_(number)		token			33	DBPedia>33_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Pork		token			pork	DBPedia>Pork
	Token,~NoTag		token			fried	~NoTag
	Token,DBPedia>Rice		token			rice	DBPedia>Rice
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
pick one	OptionGroup	N1216	option_group				
small	Option,small	N1217	option				
large	Option,large	N1218	option				
33. shrimp fried rice	Item,Obtainable,33. shrimp fried rice	N973	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	33. shrimp fried rice	
	Hypergraph		hypergraph		CommandNet>NewInstruction	33. shrimp fried rice	
	Token,DBPedia>33_(number)		token			33	DBPedia>33_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Shrimp		token			shrimp	DBPedia>Shrimp
	Token,~NoTag		token			fried	~NoTag
	Token,DBPedia>Rice		token			rice	DBPedia>Rice
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
pick one	OptionGroup	N1219	option_group				
small	Option,small	N1220	option				
large	Option,large	N1221	option				
33. vegetable fried rice	Item,Obtainable,33. vegetable fried rice	N977	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	33. vegetable fried rice	
	Hypergraph		hypergraph		CommandNet>NewInstruction	33. vegetable fried rice	
	Token,DBPedia>33_(number)		token			33	DBPedia>33_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Vegetable		token			vegetable	DBPedia>Vegetable
	Token,~NoTag		token			fried	~NoTag
	Token,DBPedia>Rice		token			rice	DBPedia>Rice
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
pick one	OptionGroup	N1222	option_group				
small	Option,small	N1223	option				
large	Option,large	N1224	option				
34. pineapple fried rice	Item,Obtainable,34. pineapple fried rice	N979	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	34. pineapple fried rice	
	Hypergraph		hypergraph		CommandNet>NewInstruction	34. pineapple fried rice	
	Token,DBPedia>34_(number)		token			34	DBPedia>34_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Pineapple		token			pineapple	DBPedia>Pineapple
	Token,~NoTag		token			fried	~NoTag
	Token,DBPedia>Rice		token			rice	DBPedia>Rice
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
choice of ingredient	OptionGroup	N1225	option_group				
chicken	Option,chicken	N1226	option				
beef	Option,beef	N1227	option				
pork	Option,pork	N1228	option				
vegetables	Option,vegetables	N1229	option				
35. curry fried rice	Item,Obtainable,35. curry fried rice	N980	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	35. curry fried rice	
	Hypergraph		hypergraph		CommandNet>NewInstruction	35. curry fried rice	
	Token,DBPedia>35_(number)		token			35	DBPedia>35_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Curry		token			curry	DBPedia>Curry
	Token,~NoTag		token			fried	~NoTag
	Token,DBPedia>Rice		token			rice	DBPedia>Rice
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
choice of ingredient	OptionGroup	N1230	option_group				
chicken	Option,chicken	N1231	option				
beef	Option,beef	N1232	option				
pork	Option,pork	N1233	option				
vegetables	Option,vegetables	N1234	option				
36. combination fried rice	Item,Obtainable,36. combination fried rice	N978	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	36. combination fried rice	
	Hypergraph		hypergraph		CommandNet>NewInstruction	36. combination fried rice	
	Token,DBPedia>36_(number)		token			36	DBPedia>36_(number)
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			combination	~NoTag
	Token,~NoTag		token			fried	~NoTag
	Token,DBPedia>Rice		token			rice	DBPedia>Rice
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
pick one	OptionGroup	N1235	option_group				
small	Option,small	N1236	option				
large	Option,large	N1237	option				
37. basil fried rice	Item,Obtainable,37. basil fried rice	N1570	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	37. basil fried rice	
	Hypergraph		hypergraph		CommandNet>NewInstruction	37. basil fried rice	
	Token,DBPedia>37_(number)		token			37	DBPedia>37_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Basil		token			basil	DBPedia>Basil
	Token,~NoTag		token			fried	~NoTag
	Token,DBPedia>Rice		token			rice	DBPedia>Rice
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
pick one	OptionGroup	N1571	option_group				
small 	Option,small 	N1572	option				
large 	Option,large 	N1573	option				
lo mein	Group	N932	group				
33. chicken lo mein	Item,Obtainable,33. chicken lo mein	N985	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	33. chicken lo mein	
	Hypergraph		hypergraph		CommandNet>NewInstruction	33. chicken lo mein	
	Token,DBPedia>33_(number)		token			33	DBPedia>33_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,~NoTag		token			lo	~NoTag
	Token,~NoTag		token			mein	~NoTag
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
pick one	OptionGroup	N1238	option_group				
small	Option,small	N1239	option				
large	Option,large	N1240	option				
33. beef lo mein	Item,Obtainable,33. beef lo mein	N983	item	True			
pick one	OptionGroup	N1241	option_group				
small	Option,small	N1242	option				
large	Option,large	N1243	option				
33. roast pork lo mein	Item,Obtainable,33. roast pork lo mein	N984	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	33. roast pork lo mein	
	Hypergraph		hypergraph		CommandNet>NewInstruction	33. roast pork lo mein	
	Token,DBPedia>33_(number)		token			33	DBPedia>33_(number)
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			roast	~NoTag
	Token,DBPedia>Pork		token			pork	DBPedia>Pork
	Token,~NoTag		token			lo	~NoTag
	Token,~NoTag		token			mein	~NoTag
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
pick one	OptionGroup	N1244	option_group				
small	Option,small	N1245	option				
large	Option,large	N1246	option				
33. shrimp lo mein	Item,Obtainable,33. shrimp lo mein	N982	item	True			
